#,Peptide,Score,Prediction results,Hemolysis Conc (ug/ml),Hemolysis 
408,"car_401",0.14978972,No,50.0,No
409,"car_402",0.055390626,No,50.0,No
410,"car_403",0.38540366,No,50.0,No
411,"car_404",0.2950459,No,50.0,No
412,"car_405",0.09895083,No,50.0,No
413,"car_406",0.093018234,No,50.0,No
414,"car_407",0.04453203,No,50.0,No
415,"car_408",0.09228912,No,50.0,No
416,"car_409",0.08706325,No,50.0,No
417,"car_410",0.036860824,No,50.0,No
418,"car_411",0.22759819,No,50.0,No
419,"car_412",0.6382394,Yes,50.0,Yes
420,"car_413",0.16140467,No,50.0,No
421,"car_414",0.3041353,No,50.0,No
422,"car_415",0.13737768,No,50.0,No
423,"car_416",0.10051307,No,50.0,No
424,"car_417",0.026600927,No,50.0,No
425,"car_418",0.20124584,No,50.0,No
426,"car_419",0.11592522,No,50.0,No
427,"car_420",0.01587829,No,50.0,No
428,"car_421",0.42147958,No,50.0,No
429,"car_422",0.09944084,No,50.0,No
430,"car_423",0.03430167,No,50.0,No
431,"car_424",0.1521453,No,50.0,No
432,"car_425",0.025667638,No,50.0,No
433,"car_426",0.35194272,No,50.0,No
434,"car_427",0.3394332,No,50.0,No
435,"car_428",0.10654107,No,50.0,Yes
436,"car_429",0.40187126,No,50.0,No
437,"car_430",0.039106518,No,50.0,No
438,"car_431",0.014392197,No,50.0,No
439,"car_432",0.17806527,No,50.0,No
440,"car_433",0.122973174,No,50.0,No
441,"car_434",0.38119346,No,50.0,No
442,"car_435",0.13494304,No,50.0,No
443,"car_436",0.016270071,No,50.0,No
444,"car_437",0.04935226,No,50.0,No
445,"car_438",0.14968702,No,50.0,Yes
446,"car_439",0.03341037,No,50.0,No
447,"car_440",0.09200925,No,50.0,No
448,"car_441",0.030831963,No,50.0,No
449,"car_442",0.026740223,No,50.0,No
450,"car_443",0.27291757,No,50.0,No
451,"car_444",0.032763958,No,50.0,No
452,"car_445",0.09682742,No,50.0,No
453,"car_446",0.11921242,No,50.0,No
454,"car_447",0.020120561,No,50.0,No
455,"car_448",0.21561646,No,50.0,No
456,"car_449",0.02244243,No,50.0,No
457,"car_450",0.015279561,No,50.0,No
458,"car_451",0.061199576,No,50.0,No
459,"car_452",0.00065246224,No,50.0,No
460,"car_453",0.003313154,No,50.0,No
461,"car_454",0.015815973,No,50.0,No
462,"car_455",0.12756109,No,50.0,No
463,"car_456",0.019150734,No,50.0,No
464,"car_457",0.044285238,No,50.0,No
465,"car_458",0.026166558,No,50.0,No
466,"car_459",0.04731074,No,50.0,No
467,"car_460",0.047656983,No,50.0,No
468,"car_461",0.021213263,No,50.0,No
469,"car_462",0.08673006,No,50.0,No
470,"car_463",0.02304992,No,50.0,No
471,"car_464",0.015549332,No,50.0,No
472,"car_465",0.32150912,No,50.0,No
473,"car_466",0.4590535,No,50.0,No
474,"car_467",0.0025405586,No,50.0,No
475,"car_468",0.36462596,No,50.0,No
476,"car_469",0.25251818,No,50.0,Yes
477,"car_470",0.09735149,No,50.0,No
478,"car_471",0.22135681,No,50.0,No
479,"car_472",0.2608158,No,50.0,No
480,"car_473",0.7991812,Yes,50.0,No
481,"car_474",0.047580868,No,50.0,No
482,"car_475",0.31693667,No,50.0,No
483,"car_476",0.05072865,No,50.0,No
484,"car_477",0.06361687,No,50.0,No
485,"car_478",0.0424605,No,50.0,No
486,"car_479",0.02160412,No,50.0,No
487,"car_480",0.10956991,No,50.0,No
488,"car_481",0.6160884,Yes,50.0,No
489,"car_482",0.052440137,No,50.0,No
490,"car_483",0.027134508,No,50.0,No
491,"car_484",0.050212502,No,50.0,No
492,"car_485",0.72357416,Yes,50.0,No
493,"car_486",0.100197315,No,50.0,No
494,"car_487",0.006687492,No,50.0,No
495,"car_488",0.049499094,No,50.0,No
496,"car_489",0.13896719,No,50.0,No
497,"car_490",0.02552995,No,50.0,No
498,"car_491",0.08426964,No,50.0,No
499,"car_492",0.0627912,No,50.0,No
500,"car_493",0.40989956,No,50.0,No
501,"car_494",0.16594177,No,50.0,No
502,"car_495",0.01875022,No,50.0,No
503,"car_496",0.118977845,No,50.0,No
504,"car_497",0.015988857,No,50.0,No
505,"car_498",0.10695815,No,50.0,No
506,"car_499",0.026985168,No,50.0,No
507,"car_500",0.19004962,No,50.0,No
508,"car_501",0.030915052,No,50.0,No
509,"car_502",0.0533309,No,50.0,No
510,"car_503",0.117750734,No,50.0,Yes
511,"car_504",0.3607841,No,50.0,No
512,"car_505",0.15487832,No,50.0,No
513,"car_506",0.020384103,No,50.0,No
514,"car_507",0.09717226,No,50.0,No
515,"car_508",0.0049518645,No,50.0,No
516,"car_509",0.038998634,No,50.0,No
517,"car_510",0.021251142,No,50.0,No
518,"car_511",0.04318562,No,50.0,No
519,"car_512",0.6574786,Yes,50.0,No
520,"car_513",0.11941886,No,50.0,No
521,"car_514",0.035628945,No,50.0,No
522,"car_515",0.030955791,No,50.0,No
523,"car_516",0.21373916,No,50.0,No
524,"car_517",0.015865505,No,50.0,No
525,"car_518",0.050740838,No,50.0,No
526,"car_519",0.02440086,No,50.0,No
527,"car_520",0.114702344,No,50.0,No
528,"car_521",0.14368871,No,50.0,No
529,"car_522",0.052800924,No,50.0,No
530,"car_523",0.016005248,No,50.0,No
531,"car_524",0.13886634,No,50.0,No
532,"car_525",0.8428255,Yes,50.0,No
533,"car_526",0.38983807,No,50.0,No
534,"car_527",0.109710455,No,50.0,No
535,"car_528",0.05102271,No,50.0,No
536,"car_529",0.035200834,No,50.0,No
537,"car_530",0.011074096,No,50.0,No
538,"car_531",0.6903338,Yes,50.0,No
539,"car_532",0.085707664,No,50.0,No
540,"car_533",0.023429185,No,50.0,No
541,"car_534",0.16830194,No,50.0,No
542,"car_535",0.110995054,No,50.0,No
543,"car_536",0.11206421,No,50.0,No
544,"car_537",0.06398943,No,50.0,No
545,"car_538",0.026308924,No,50.0,No
546,"car_539",0.02702728,No,50.0,No
547,"car_540",0.033952773,No,50.0,No
548,"car_541",0.81637573,Yes,50.0,No
549,"car_542",0.03704533,No,50.0,No
550,"car_543",0.05354917,No,50.0,No
551,"car_544",0.039358974,No,50.0,No
552,"car_545",0.012145311,No,50.0,No
553,"car_546",0.022352427,No,50.0,No
554,"car_547",0.040139735,No,50.0,No
555,"car_548",0.102815956,No,50.0,No
556,"car_549",0.07929003,No,50.0,No
557,"car_550",0.2914232,No,50.0,Yes
558,"car_551",0.06406829,No,50.0,No
559,"car_552",0.28297538,No,50.0,No
560,"car_553",0.07869536,No,50.0,No
561,"car_554",0.028409094,No,50.0,No
562,"car_555",0.3613458,No,50.0,No
563,"car_556",0.21131563,No,50.0,No
564,"car_557",0.14279526,No,50.0,No
565,"car_558",0.018666387,No,50.0,No
566,"car_559",0.02732104,No,50.0,No
567,"car_560",0.021020412,No,50.0,No
568,"car_561",0.91396517,Yes,50.0,No
569,"car_562",0.005651921,No,50.0,No
570,"car_563",0.61644685,Yes,50.0,No
571,"car_564",0.30702925,No,50.0,No
572,"car_565",0.026614398,No,50.0,No
573,"car_566",0.011075556,No,50.0,No
574,"car_567",0.03950143,No,50.0,No
575,"car_568",0.22417071,No,50.0,Yes
576,"car_569",0.042528957,No,50.0,No
577,"car_570",0.060201794,No,50.0,No
578,"car_571",0.07283372,No,50.0,No
579,"car_572",0.08701599,No,50.0,Yes
580,"car_573",0.14117527,No,50.0,No
581,"car_574",0.064061135,No,50.0,No
582,"car_575",0.38408914,No,50.0,No
583,"car_576",0.13517678,No,50.0,No
584,"car_577",0.27193385,No,50.0,No
585,"car_578",0.014540404,No,50.0,No
586,"car_579",0.24429306,No,50.0,No
587,"car_580",0.2594977,No,50.0,No
588,"car_581",0.01594448,No,50.0,No
589,"car_582",0.2625023,No,50.0,No
590,"car_583",0.04090652,No,50.0,No
591,"car_584",0.10803473,No,50.0,No
592,"car_585",0.19106513,No,50.0,No
593,"car_586",0.050923496,No,50.0,No
594,"car_587",0.7520218,Yes,50.0,No
595,"car_588",0.1592992,No,50.0,No
596,"car_589",0.020354778,No,50.0,No
597,"car_590",0.0142376125,No,50.0,No
598,"car_591",0.043495953,No,50.0,No
599,"car_592",0.01054582,No,50.0,No
600,"car_593",0.07714707,No,50.0,No
601,"car_594",0.1597718,No,50.0,No
602,"car_595",0.022726119,No,50.0,No
603,"car_596",0.22381535,No,50.0,No
604,"car_597",0.037317038,No,50.0,No
605,"car_598",0.006922871,No,50.0,No
606,"car_599",0.048210233,No,50.0,No
607,"car_600",0.30755168,No,50.0,No
608,"car_601",0.032999128,No,50.0,No
609,"car_602",0.47029123,No,50.0,Yes
610,"car_603",0.071020156,No,50.0,No
611,"car_604",0.9568281,Yes,50.0,No
612,"car_605",0.0019966364,No,50.0,No
613,"car_606",0.012511104,No,50.0,No
614,"car_607",0.29835686,No,50.0,Yes
615,"car_608",0.09006959,No,50.0,No
616,"car_609",0.15267229,No,50.0,Yes
617,"car_610",0.032426804,No,50.0,No
618,"car_611",0.024119556,No,50.0,No
619,"car_612",0.9083489,Yes,50.0,No
620,"car_613",0.108079016,No,50.0,No
621,"car_614",0.0047978163,No,50.0,Yes
622,"car_615",0.055630088,No,50.0,No
623,"car_616",0.17943639,No,50.0,No
624,"car_617",0.035824925,No,50.0,No
625,"car_618",0.10085869,No,50.0,No
626,"car_619",0.16452473,No,50.0,No
627,"car_620",0.3593043,No,50.0,No
628,"car_621",0.12331286,No,50.0,No
629,"car_622",0.0226323,No,50.0,No
630,"car_623",0.0638361,No,50.0,No
631,"car_624",0.040231586,No,50.0,No
632,"car_625",0.0006650984,No,50.0,Yes
633,"car_626",0.0019578636,No,50.0,No
634,"car_627",0.27326983,No,50.0,No
635,"car_628",0.18714267,No,50.0,No
636,"car_629",0.031513155,No,50.0,No
637,"car_630",0.14622304,No,50.0,No
638,"car_631",0.0298028,No,50.0,No
639,"car_632",0.06794664,No,50.0,No
640,"car_633",0.75665736,Yes,50.0,No
641,"car_634",0.024462044,No,50.0,No
642,"car_635",0.10529819,No,50.0,No
643,"car_636",0.0100213885,No,50.0,No
644,"car_637",0.38332754,No,50.0,No
645,"car_638",0.059065253,No,50.0,No
646,"car_639",0.020513177,No,50.0,No
647,"car_640",0.16141611,No,50.0,No
648,"car_641",0.014555454,No,50.0,No
649,"car_642",0.044120878,No,50.0,No
